部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A14,ARC,3C784,171.886313,151.858145,171.198973,153.151669,134.062245,132.588947,42.449524,26.996238,1.977197
A14,ARC,3C783,171.198973,153.151669,170.705551,153.986556,155.526334,144.452312,17.925134,29.033189,3.100223
A14,ARC,3C782,170.705551,153.986556,170.01238,154.973123,161.167564,148.021874,11.249472,32.020243,6.143996
A14,ARC,3C781,170.01238,154.973123,168.427128,156.501376,163.948805,150.269713,7.673916,37.800113,16.49735
A14,ARC,3C780,169.860585,157.648352,168.868629,157.492623,170.77663,148.576237,9.118247,95.765822,6.312634
A14,ARC,3C77F,175.00209,156.453886,169.860585,157.648352,170.720599,149.687355,8.007315,57.676608,38.489053
A14,ARC,3C77E,177.36033,154.345583,175.00209,156.453886,169.784219,148.244388,9.727386,38.845196,18.715194
A14,ARC,3C77D,179.765069,149.36199,177.36033,154.345583,167.700238,146.61231,12.374202,12.838911,25.839696
A14,ARC,3C77C,180.01737,145.705606,179.765069,149.36199,168.867634,146.773138,11.200725,354.530884,18.832877
A14,ARC,3C77B,188.371209,169.717735,188.285349,169.499968,197.01183,166.185159,9.33485,157.763606,1.436794
A14,ARC,3C77A,188.285349,169.499968,187.865653,167.9921,196.047234,166.527201,8.311691,159.043383,10.805463
A14,ARC,3C779,187.865653,167.9921,187.787448,167.498703,200.294242,165.76923,12.625806,169.85979,2.267129
A14,ARC,3C778,187.660283,166.54794,187.787448,167.498703,131.967161,174.480803,56.255259,351.893388,0.976983
A14,ARC,3C777,187.607326,166.225998,187.660283,166.54794,177.16764,168.10858,10.60807,349.777747,1.762297
A14,ARC,3C776,187.119695,164.59608,187.607326,166.225998,180.298364,167.524755,7.423455,336.764186,13.159879
A14,ARC,3C775,186.811409,163.941941,187.119695,164.59608,178.059812,168.466155,9.85185,332.662903,4.206566
A14,ARC,3C774,186.041453,162.690529,186.811409,163.941941,179.050287,167.854549,8.691577,323.5486,9.697395
A14,ARC,3C773,183.444656,160.609868,186.041453,162.690529,180.883065,166.46771,6.393439,293.619402,30.167499
A14,ARC,3C772,182.713852,160.316411,183.444656,160.609868,179.47294,169.444047,9.685931,289.548214,4.659766
A14,ARC,3C771,181.938776,160.067043,182.713852,160.316411,177.940292,173.824222,14.326474,286.206353,3.256675
A14,ARC,3C770,181.11815,159.84444,181.938776,160.067043,174.871666,184.495991,25.430642,284.218965,1.915793
A14,ARC,3C76F,179.335129,159.410222,181.11815,159.84444,145.021949,304.18771,148.788156,283.33344,0.706683
A14,ARC,3C76E,179.192089,159.660554,179.803552,160.476824,176.159471,162.569427,4.202179,316.193138,13.940384
A14,ARC,3C76D,179.803552,160.476824,180.238824,161.428481,174.540864,163.459262,6.049035,330.459171,9.924513
A14,ARC,3C76C,180.238824,161.428481,180.603885,162.695371,169.655192,165.16425,11.223602,340.558191,6.73442
A14,ARC,3C76B,180.603885,162.695371,180.794733,163.585088,151.860684,169.32624,29.498136,347.009504,1.767524
A14,ARC,3C76A,181.070676,164.938429,180.794733,163.585088,244.356665,151.329758,64.732622,167.86423,1.222532
A14,ARC,3C769,181.287687,165.824632,181.070676,164.938429,197.48928,161.387558,16.798191,164.684143,3.112377
A14,ARC,3C768,181.644266,166.879961,181.287687,165.824632,189.962376,163.481497,8.985572,157.776938,7.107521
A14,ARC,3C767,182.145559,167.841371,181.644266,166.879961,186.92296,164.738972,5.696354,147.000698,10.922294
A14,ARC,3C766,184.021362,169.437541,182.145559,167.841371,185.735925,165.522306,4.274201,113.64961,33.491437
A14,ARC,3C765,185.052556,169.779909,184.021362,169.437541,186.313572,164.25767,5.664388,102.86307,11.007403
A14,ARC,3C764,185.975086,169.934104,185.052556,169.779909,186.797836,162.174875,7.802727,96.052742,6.872275
A14,ARC,3C763,187.038283,169.991199,185.975086,169.934104,187.073652,159.404866,10.586392,90.191427,5.764968
A14,ARC,3C762,188.253699,169.94294,187.038283,169.991199,187.0673,155.392697,14.59853,85.338526,4.77536
A14,ARC,3C761,188.263514,169.941881,188.253699,169.94294,188.24125,169.781513,0.161906,82.096036,3.494333
A14,ARC,3C760,188.374649,169.862801,188.263514,169.941881,188.244552,169.7976,0.145522,26.618764,55.893776
A14,ARC,3C75F,188.389667,169.790984,188.374649,169.862801,188.256086,169.80053,0.133921,355.91252,31.796847
A14,ARC,3C75E,188.386763,169.768168,188.389667,169.790984,188.211761,169.802036,0.178249,349.046807,7.398181
A14,ARC,3C75D,188.381065,169.745264,188.386763,169.768168,188.162822,169.811717,0.228136,343.064838,5.930297
A14,ARC,3C75C,188.371209,169.717735,188.381065,169.745264,188.083982,169.836096,0.310658,337.604348,5.394826
A14,ARC,3BDB8,179.192089,159.660554,179.335129,159.410222,179.29931,159.555788,0.149908,135.663205,148.160819
A14,ARC,3C75B,174.450702,164.511761,174.171099,163.480958,192.104063,159.170017,18.443845,163.164668,3.318362
A14,ARC,3C75A,174.822308,165.582806,174.450702,164.511761,186.830593,160.816456,12.919636,158.350793,5.029235
A14,ARC,3C759,175.217728,166.439932,174.822308,165.582806,182.622869,162.503934,8.386191,152.008357,6.45255
A14,ARC,3C758,175.636158,167.11282,175.217728,166.439932,180.263588,163.768741,5.709288,144.145696,7.958332
A14,ARC,3C757,177.421941,168.512879,175.636158,167.11282,178.907261,164.779431,4.018061,111.694707,32.803734
A14,ARC,3C756,177.834637,168.676161,177.421941,168.512879,180.887752,160.356184,8.862478,110.151215,2.869609
A14,ARC,3C755,178.475785,168.904203,177.834637,168.676161,191.328516,131.752998,39.311636,109.083436,0.991819
A14,ARC,3C754,178.475785,168.904203,178.917355,169.06714,173.168569,183.966958,15.970383,289.409414,1.688659
A14,ARC,3C753,178.917355,169.06714,179.369758,169.256533,175.743369,177.283856,8.80844,291.120753,3.190593
A14,ARC,3C752,179.369758,169.256533,180.305419,169.775474,176.752272,175.078888,6.383655,294.206683,9.614366
A14,ARC,3C751,180.570321,169.647969,180.454618,169.279509,186.503342,167.5825,6.282269,160.805406,3.522783
