部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A2,CIRCLE,3C692,,,,,17.998409,76.343414,2.5,,
A2,CIRCLE,3C691,,,,,17.998409,66.151498,2.5,,
A2,ARC,3C690,31.498409,45.767665,35.498409,49.767665,31.498409,49.767665,4,269.999999,90
A2,LINE,3C68F,17.848409,45.767665,4.498409,45.767665,,,,,
A2,LINE,3C68E,31.498409,45.767665,18.148409,45.767665,,,,,
A2,ARC,3C68D,0.498409,49.767665,4.498409,45.767665,4.498409,49.767665,4,180.000001,90
A2,LINE,3C68C,0.498409,66.326498,0.498409,82.53533,,,,,
A2,LINE,3C68B,0.498409,49.767665,0.498409,65.976498,,,,,
A2,ARC,3C68A,4.498409,86.53533,0.498409,82.53533,4.498409,82.53533,4,89.999999,90
A2,LINE,3C689,18.148409,86.53533,31.498409,86.53533,,,,,
A2,LINE,3C688,4.498409,86.53533,17.848409,86.53533,,,,,
A2,ARC,3C687,35.498409,82.53533,31.498409,86.53533,31.498409,82.53533,4,0.000001,90
A2,LINE,3C686,35.498409,65.976498,35.498409,49.767665,,,,,
A2,LINE,3C685,35.498409,82.53533,35.498409,66.326498,,,,,
A2,ARC,3C684,7.698409,50.653736,8.998409,51.953736,7.698409,51.953736,1.3,270,90
A2,LINE,3C683,7.298409,50.653736,7.698409,50.653736,,,,,
A2,ARC,3C682,8.998409,54.351523,7.698409,55.651523,7.698409,54.351523,1.3,0,90
A2,LINE,3C681,8.998409,51.953736,8.998409,54.351523,,,,,
A2,ARC,3C680,7.298409,55.651523,5.998409,54.351523,7.298409,54.351523,1.3,90,90
A2,LINE,3C67F,7.698409,55.651523,7.298409,55.651523,,,,,
A2,ARC,3C67E,5.998409,51.953736,7.298409,50.653736,7.298409,51.953736,1.3,180,90
A2,LINE,3C67D,5.998409,54.351523,5.998409,51.953736,,,,,
A2,ARC,3C67C,28.298409,55.651523,26.998409,54.351523,28.298409,54.351523,1.3,90,90
A2,LINE,3C67B,28.698409,55.651523,28.298409,55.651523,,,,,
A2,LINE,3C67A,26.998409,54.351523,26.998409,51.953736,,,,,
A2,ARC,3C679,28.698409,50.653736,29.998409,51.953736,28.698409,51.953736,1.3,270,90
A2,ARC,3C678,26.998409,51.953736,28.298409,50.653736,28.298409,51.953736,1.3,180,90
A2,LINE,3C677,28.298409,50.653736,28.698409,50.653736,,,,,
A2,ARC,3C676,29.998409,54.351523,28.698409,55.651523,28.698409,54.351523,1.3,0,90
A2,LINE,3C675,29.998409,51.953736,29.998409,54.351523,,,,,
A2,ARC,3C674,7.698409,78.651547,8.998409,79.951547,7.698409,79.951547,1.3,270,90
A2,LINE,3C673,7.298409,78.651547,7.698409,78.651547,,,,,
A2,ARC,3C672,8.998409,80.348012,7.698409,81.648012,7.698409,80.348012,1.3,0,90
A2,LINE,3C671,8.998409,79.951547,8.998409,80.348012,,,,,
A2,ARC,3C670,7.298409,81.648012,5.998409,80.348012,7.298409,80.348012,1.3,90,90
A2,LINE,3C66F,7.698409,81.648012,7.298409,81.648012,,,,,
A2,ARC,3C66E,5.998409,79.951547,7.298409,78.651547,7.298409,79.951547,1.3,180,90
A2,LINE,3C66D,5.998409,80.348012,5.998409,79.951547,,,,,
A2,ARC,3C66C,28.298409,81.648012,26.998409,80.348012,28.298409,80.348012,1.3,90,90
A2,LINE,3C66B,28.698409,81.648012,28.298409,81.648012,,,,,
A2,ARC,3C66A,26.998409,79.951547,28.298409,78.651547,28.298409,79.951547,1.3,180,90
A2,LINE,3C669,26.998409,80.348012,26.998409,79.951547,,,,,
A2,ARC,3C668,28.698409,78.651547,29.998409,79.951547,28.698409,79.951547,1.3,270,90
A2,LINE,3C667,28.298409,78.651547,28.698409,78.651547,,,,,
A2,ARC,3C666,29.998409,80.348012,28.698409,81.648012,28.698409,80.348012,1.3,0,90
A2,LINE,3C665,29.998409,79.951547,29.998409,80.348012,,,,,
A3,CIRCLE,3C664,,,,,58.109765,86.026846,1,,
A3,ARC,3C663,68.609777,85.526846,69.609777,84.526846,69.609777,85.526846,1,180,90
A3,ARC,3C662,69.609777,87.526846,68.609777,86.526846,69.609777,86.526846,1,90,90
A3,ARC,3C661,73.606242,86.526846,72.606242,87.526846,72.606242,86.526846,1,360,90
A3,ARC,3C660,72.606242,84.526846,73.606242,85.526846,72.606242,85.526846,1,270,90
A3,ARC,3C65F,73.606242,65.526846,72.606242,66.526846,72.606242,65.526846,1,360,90
A3,ARC,3C65E,72.606242,63.526846,73.606242,64.526846,72.606242,64.526846,1,270,90
A3,ARC,3C65D,68.609777,64.526846,69.609777,63.526846,69.609777,64.526846,1,180,90
A3,ARC,3C65C,69.609777,66.526846,68.609777,65.526846,69.609777,65.526846,1,90,90
A3,CIRCLE,3C65B,,,,,58.109727,75.526846,2.5,,
A3,CIRCLE,3C65A,,,,,48.10848,75.526846,2.5,,
A3,LINE,3C659,68.609777,64.526846,68.609777,65.526846,,,,,
A3,LINE,3C658,69.609777,66.526846,72.606242,66.526846,,,,,
A3,LINE,3C657,73.606242,65.526846,73.606242,64.526846,,,,,
A3,LINE,3C656,72.606242,63.526846,69.609777,63.526846,,,,,
A3,LINE,3C655,73.606242,86.526846,73.606242,85.526846,,,,,
A3,LINE,3C654,72.606242,84.526846,69.609777,84.526846,,,,,
A3,LINE,3C653,68.609777,85.526846,68.609777,86.526846,,,,,
A3,LINE,3C652,69.609777,87.526846,72.606242,87.526846,,,,,
A3,ARC,3C651,45.609753,86.226846,44.309753,87.526846,44.309753,86.226846,1.3,360,90
A3,LINE,3C650,45.609753,86.226846,45.609753,85.826846,,,,,
A3,ARC,3C64F,44.309753,84.526846,45.609753,85.826846,44.309753,85.826846,1.3,270,90
A3,LINE,3C64E,44.309753,84.526846,43.911966,84.526846,,,,,
A3,ARC,3C64D,42.611966,85.826846,43.911966,84.526846,43.911966,85.826846,1.3,180,90
A3,LINE,3C64C,42.611966,85.826846,42.611966,86.226846,,,,,
A3,ARC,3C64B,43.911966,87.526846,42.611966,86.226846,43.911966,86.226846,1.3,90,90
A3,LINE,3C64A,43.911966,87.526846,44.309753,87.526846,,,,,
A3,ARC,3C649,43.911966,66.526846,42.611966,65.226846,43.911966,65.226846,1.3,90,90
A3,LINE,3C648,42.611966,64.826846,42.611966,65.226846,,,,,
A3,LINE,3C647,43.911966,66.526846,44.309753,66.526846,,,,,
A3,ARC,3C646,45.609753,65.226846,44.309753,66.526846,44.309753,65.226846,1.3,360,90
A3,LINE,3C645,45.609753,65.226846,45.609753,64.826846,,,,,
A3,ARC,3C644,44.309753,63.526846,45.609753,64.826846,44.309753,64.826846,1.3,270,90
A3,ARC,3C643,42.611966,64.826846,43.911966,63.526846,43.911966,64.826846,1.3,180,90
A3,LINE,3C642,44.309753,63.526846,43.911966,63.526846,,,,,
A3,ARC,3C641,41.725895,93.026846,37.725895,89.026846,41.725895,89.026846,4,90.000001,90
A3,LINE,3C640,37.725895,75.351846,37.725895,62.026846,,,,,
A3,LINE,3C63F,37.725895,89.026846,37.725895,75.701846,,,,,
A3,ARC,3C63E,37.725895,62.026846,41.725895,58.026846,41.725895,62.026846,4,179.999999,90
A3,LINE,3C63D,58.259727,58.026846,74.49356,58.026846,,,,,
A3,LINE,3C63C,41.725895,58.026846,57.959727,58.026846,,,,,
A3,ARC,3C63B,74.49356,58.026846,78.49356,62.026846,74.49356,62.026846,4,270.000001,90
A3,LINE,3C63A,78.49356,75.701846,78.49356,89.026846,,,,,
A3,LINE,3C639,78.49356,62.026846,78.49356,75.351846,,,,,
A3,ARC,3C638,78.49356,89.026846,74.49356,93.026846,74.49356,89.026846,4,359.999999,90
A3,LINE,3C637,57.959727,93.026846,41.725895,93.026846,,,,,
A3,LINE,3C636,74.49356,93.026846,58.259727,93.026846,,,,,
A4,ARC,3CDA1,6.564508,152.603107,7.645452,152.144483,9.31812,157.590012,5.696631,241.093903,11.831046
A4,ARC,3CDA0,7.645452,152.144483,10.699974,152.237052,9.041106,156.533418,4.605497,252.359658,38.752393
A4,ARC,3CD9F,10.699974,152.237052,12.100949,153.006212,8.53094,157.848281,6.015862,291.134127,15.266847
A4,ARC,3CD9E,12.100949,153.006212,13.402923,154.182289,6.894584,160.078622,8.782097,306.358694,11.465805
A4,ARC,3CD9D,13.402923,154.182289,14.965693,156.286157,3.18545,163.404263,13.763777,317.931573,10.926333
A4,ARC,3CD9C,14.965693,156.286157,16.60378,159.589544,-3.931314,167.714667,22.084106,328.835338,9.577437
A4,ARC,3CD9B,16.60378,159.589544,18.513794,166.634107,-13.908851,171.643741,32.807382,338.443205,12.77346
A4,ARC,3CD9A,18.559425,166.930616,18.744609,168.378967,-15.283485,171.993731,34.219551,351.491293,2.444986
A4,ARC,3CD99,18.744609,168.378967,18.920729,171.933516,-11.580425,171.663147,30.502352,353.818998,6.688873
A4,ARC,3CD98,18.920729,171.933516,18.705443,174.93288,-4.391279,171.767651,23.312598,0.407654,7.395687
A4,ARC,3CD97,18.705443,174.93288,18.109,177.606111,3.000251,172.831941,15.845094,7.619423,9.91644
A4,ARC,3CD96,18.109,177.606111,17.364897,179.375299,8.212192,174.484686,10.377384,17.505124,10.612042
A4,ARC,3CD95,17.364897,179.375299,16.362181,180.805212,11.122754,176.064572,7.065781,27.940727,14.198107
A4,ARC,3CD94,16.362181,180.805212,14.673233,182.045173,12.543977,177.374681,5.132955,41.93865,23.553314
A4,ARC,3CD93,14.673233,182.045173,12.510438,182.489577,12.557869,177.235344,5.254448,66.26009,24.257111
A4,ARC,3CD92,12.510438,182.489577,11.697954,182.43812,12.482781,176.486184,6.003457,89.73604,7.775692
A4,ARC,3CD91,11.697954,182.43812,10.093035,181.948588,12.345699,177.438895,5.041014,97.382632,19.160232
A4,ARC,3CD90,68.231159,181.948587,66.85834,182.402082,65.989624,177.46766,5.010308,63.423984,16.591274
A4,ARC,3CD8F,66.85834,182.402082,65.813755,182.489576,65.842852,176.557638,5.932009,80.143104,10.137932
A4,ARC,3CD8E,65.813755,182.489576,65.290849,182.466333,65.815896,176.547956,5.941621,90.02064,5.049059
A4,ARC,3CD8D,65.290849,182.466333,62.29772,181.142748,65.68468,177.529635,4.952383,94.561176,38.588396
A4,ARC,3CD8C,62.29772,181.142748,61.086423,179.601793,66.830544,176.333078,6.609041,133.302648,17.05514
A4,ARC,3CD8B,61.086423,179.601793,60.306125,177.877269,69.763874,174.636704,9.997513,150.222551,10.864146
A4,ARC,3CD8A,60.306125,177.877269,59.665723,175.248425,74.82313,172.948411,15.330918,161.246467,10.125186
A4,ARC,3CD89,59.665723,175.248425,59.404762,171.235982,83.215797,171.702072,23.815596,171.436303,9.685094
A4,ARC,3CD88,59.404762,171.235982,59.764768,166.930615,91.80207,171.777244,32.401829,180.957153,7.64537
A4,ARC,3CD87,59.810399,166.634106,60.694329,162.608599,93.890874,172.007769,34.501522,188.960382,6.848399
A4,ARC,3CD86,60.694329,162.608599,61.867142,159.232167,89.022278,170.556482,29.421786,195.672359,6.964898
A4,ARC,3CD85,61.867142,159.232167,63.3585,156.286156,81.698869,167.421085,21.455903,202.436713,8.826347
A4,ARC,3CD84,63.3585,156.286156,64.714679,154.413913,75.379574,163.566444,14.053783,211.200236,9.435704
A4,ARC,3CD83,64.714679,154.413913,66.223244,153.006211,71.552116,160.229079,8.975896,220.380804,13.200116
A4,ARC,3CD82,66.223244,153.006211,67.624219,152.237051,69.793252,157.848279,6.015862,233.599024,15.266847
A4,ARC,3CD81,67.624219,152.237051,70.412937,152.070454,69.279043,156.513741,4.585686,248.846531,35.469386
A4,ARC,3CD80,70.412937,152.070454,71.759685,152.603105,68.960163,157.712494,5.826077,284.439476,14.27961
A4,LINE,3C62D,67.129196,124.647915,71.129196,124.647915,,,,,
A4,LINE,3C62C,71.129196,124.647915,71.129196,128.647915,,,,,
A4,LINE,3C62B,71.129196,128.647915,67.129196,128.647915,,,,,
A4,LINE,3C62A,67.129196,128.647915,67.129196,124.647915,,,,,
A4,LINE,3C629,11.623918,125.1952,11.623917,122.1952,,,,,
A4,LINE,3C628,11.623917,122.1952,15.623917,122.195199,,,,,
A4,LINE,3C627,15.623917,122.195199,15.623918,125.195199,,,,,
A4,LINE,3C626,15.623918,125.195199,11.623918,125.1952,,,,,
A4,LINE,3C625,52.330566,148.796332,58.330549,148.796332,,,,,
A4,LINE,3C624,58.330549,148.796332,58.330566,151.65263,,,,,
A4,LINE,3C623,58.330566,151.65263,52.330566,151.652629,,,,,
A4,LINE,3C622,52.330566,151.652629,52.330566,148.796332,,,,,
A4,LINE,3C621,13.426993,148.796332,17.427011,148.796332,,,,,
A4,LINE,3C620,17.427011,148.796332,17.426993,151.652627,,,,,
A4,LINE,3C61F,17.426993,151.652627,13.426993,151.652627,,,,,
A4,LINE,3C61E,13.426993,151.652627,13.426993,148.796332,,,,,
A4,ARC,3CD7F,68.720551,213.245665,45.358772,229.076378,45.878655,204.690445,24.391474,20.532972,70.688331
A4,LINE,3CD7E,68.720551,213.245665,68.720551,213.245665,,,,,
A4,ARC,3CD7D,28.244918,95.784655,31.347475,95.380308,38.57146,162.915085,67.920042,261.254852,2.639612
A4,ARC,3CD7C,21.488192,97.245996,28.244918,95.784655,36.27574,149.267384,54.082311,254.131722,7.328699
A4,ARC,3CD7B,13.441946,100.54335,21.488192,97.245996,31.500155,133.14327,37.267328,241.016433,13.399464
A4,ARC,3CD7A,10.252569,102.628029,13.138109,100.717081,27.091759,124.921215,27.938225,232.934372,7.102239
A4,ARC,3CD79,1.571409,114.925569,10.252569,102.628029,24.9107,122.188494,24.443253,197.285555,35.867457
A4,ARC,3CD78,78.321484,124.852173,78.333795,125.970254,32.500568,125.91579,45.833259,358.670262,1.397824
A4,ARC,3CD77,78.069486,121.135543,78.321484,124.852173,37.773742,125.734562,40.557342,353.488913,5.264428
A4,ARC,3CD76,77.504113,117.716772,78.069486,121.135543,44.040335,125.006918,34.24866,347.710031,5.799538
A4,CIRCLE,3C618,,,,,39.162097,166.771438,8.7495,,
A4,ARC,3C617,40.262096,97.76379,41.162096,98.66379,40.262096,98.66379,0.9,270,90.000001
A4,ARC,3C616,41.162096,98.86379,40.262096,99.76379,40.262096,98.86379,0.9,0.000001,89.999999
A4,ARC,3C615,38.062096,99.76379,37.162096,98.86379,38.062096,98.86379,0.9,90,90
A4,ARC,3C614,37.162096,98.66379,38.062096,97.76379,38.062096,98.66379,0.9,180,90
A4,ARC,3C613,31.948717,224.649754,32.848717,225.549754,31.948717,225.549754,0.9,270.000001,90
A4,ARC,3C612,32.848717,225.749754,31.948717,226.649754,31.948717,225.749754,0.9,0.000001,90
A4,ARC,3C611,30.748717,226.649754,29.848717,225.749754,30.748717,225.749754,0.9,90.000001,90.000001
A4,ARC,3C610,29.848717,225.549754,30.748717,224.649754,30.748717,225.549754,0.9,180.000002,89.999999
A4,ARC,3C60F,47.575476,224.649754,48.475476,225.549754,47.575476,225.549754,0.9,269.999999,90
A4,ARC,3C60E,48.475476,225.749754,47.575476,226.649754,47.575476,225.749754,0.9,359.999999,90
A4,ARC,3C60D,46.375476,226.649754,45.475476,225.749754,46.375476,225.749754,0.9,89.999999,90
A4,ARC,3C60C,45.475476,225.549754,46.375476,224.649754,46.375476,225.549754,0.9,179.999999,90
A4,ARC,3C60B,9.296768,212.344813,8.57261,199.838189,32.427027,204.731247,24.351083,161.780502,29.811316
A4,ARC,3C60A,32.965424,229.076378,9.408584,212.676468,32.427027,204.731247,24.351083,88.733101,72.223882
A4,ARC,3C609,8.57261,199.838189,9.144911,197.170974,77.251003,213.179421,69.962205,190.993171,2.234183
A4,ARC,3C608,10.281756,191.740044,9.144911,197.170974,-66.555075,178.490402,77.970838,9.783792,4.078202
A4,ARC,3C607,10.515508,187.790375,10.281756,191.740044,-7.950677,188.679248,18.487566,357.244185,12.285567
A4,ARC,3C606,8.653792,184.599277,10.515508,187.790375,6.520134,187.982693,4,302.236445,55.007739
A4,ARC,3C605,8.653792,184.599277,8.479323,183.941055,8.920499,184.17635,0.5,122.236445,85.836145
A4,LINE,3C604,8.479323,183.941055,9.428635,182.16108,,,,,
A4,ARC,3C603,9.428635,182.16108,10.093035,181.948588,9.869972,182.396073,0.5,208.033441,88.461942
A4,ARC,3C602,6.564508,152.603107,5.929438,152.4671,6.32659,152.16334,0.5,61.586161,81.003363
A4,LINE,3C601,5.929438,152.4671,5.194374,151.506041,,,,,
A4,LINE,3C600,5.194374,151.506041,6.87411,150.410145,,,,,
A4,LINE,3C5FF,6.87411,150.410145,5.659068,148.821538,,,,,
A4,LINE,3C5FE,5.659068,148.821538,4.161589,150.155725,,,,,
A4,LINE,3C5FD,4.161589,150.155725,3.463391,149.242866,,,,,
A4,ARC,3C5FC,3.463391,149.242866,3.541969,148.553734,3.860542,148.939106,0.5,142.589524,87.831144
A4,ARC,3CD75,3.72352,140.61055,4.066921,141.318319,-59.199696,171.577343,70.130403,333.796531,0.64271
A4,ARC,3CD74,4.066921,141.318319,4.262332,141.733787,-17.556669,151.74241,24.005027,334.262664,1.095877
A4,ARC,3CD73,4.262332,141.733787,4.652162,142.664019,-8.693213,147.709839,14.267422,335.237366,4.051279
A4,ARC,3CD72,4.652162,142.664019,4.905544,143.429777,-4.437996,146.096665,9.716688,339.312346,4.757535
A4,ARC,3CD71,4.905544,143.429777,5.110732,144.373158,-2.09871,145.447226,7.289011,343.931911,7.594447
A4,ARC,3CD70,5.110732,144.373158,5.151577,145.625802,-0.079594,145.169387,5.251044,351.27845,13.707922
A4,ARC,3CD6F,5.151577,145.625802,4.380842,147.674096,1.127851,145.280903,4.038481,4.899211,31.442337
A4,ARC,3CD6E,4.380842,147.674096,3.541969,148.553734,0.424906,144.741308,4.924498,36.551901,14.178453
A4,ARC,3CD6D,75.03803,139.743902,74.600672,140.610548,37.586641,121.387552,41.708057,26.111231,1.333583
A4,ARC,3CD6C,76.188969,137.158827,75.03803,139.743902,41.893026,123.438178,36.938704,21.804681,4.390254
A4,ARC,3CD6B,77.344131,133.692113,76.188969,137.158827,47.555424,125.691877,30.8443,15.032973,6.791776
A4,ARC,3CD6A,77.689115,132.209016,77.344131,133.692113,44.230832,125.207929,34.182919,11.818519,2.552475
A4,ARC,3CD69,78.333795,125.970254,77.689115,132.209016,48.374241,126.027089,29.959607,359.891307,12.016766
A4,ARC,3CD68,76.009713,112.897935,77.438538,117.424027,49.946557,123.614292,28.180284,337.649064,9.661489
A4,ARC,3CD67,72.172886,106.516681,76.009713,112.897935,53.450533,122.117883,24.370557,320.195798,17.574342
A4,ARC,3CD66,66.292933,101.390998,72.172886,106.516681,52.619827,123.011624,25.581347,302.309682,17.539369
A4,ARC,3CD65,65.750383,101.05234,65.996952,101.204199,50.389872,126.268752,29.526475,301.347575,0.561931
A4,ARC,3CD64,57.227067,97.360366,65.750383,101.05234,47.21831,132.151131,36.201831,286.049697,14.74143
A4,ARC,3CD63,46.976716,95.380308,57.227067,97.360366,41.179498,152.913301,57.82433,275.753895,10.358518
A4,ARC,3CD62,39.312095,95.026396,46.976716,95.380308,39.203512,180.550768,85.524441,270.072744,5.141991
A4,LINE,3CD61,39.312095,95.026396,39.312095,95.026396,,,,,
A4,ARC,3CD60,31.347475,95.380308,39.012095,95.026396,39.120682,180.550768,85.524441,264.785263,5.141991
A4,LINE,3CD5F,31.347475,95.380308,31.347475,95.380308,,,,,
A4,ARC,3CD5E,0.58034,118.919776,1.480787,115.211553,31.544607,124.47522,31.458683,190.171486,6.954327
A4,ARC,3CD5D,0.138087,122.305612,0.58034,118.919776,36.554056,125.340407,36.542205,184.763847,5.355813
A4,ARC,3CD5C,-0.009603,125.970256,0.138087,122.305612,43.293832,125.880148,43.303529,179.880776,4.854152
A4,ARC,3CD5B,-0.00553,126.459664,-0.009603,125.970256,32.912022,125.94098,32.921638,179.097261,0.851788
A4,ARC,3CD5A,0.448124,131.241756,-0.00553,126.459664,29.725525,126.051786,29.733852,169.947672,9.266341
A4,ARC,3CD59,0.98006,133.692109,0.448124,131.241756,33.707734,125.304503,33.785391,165.625349,4.253256
A4,ARC,3CD58,2.310193,137.58919,0.98006,133.692109,31.342592,125.504447,31.447118,157.400468,7.507937
A4,ARC,3CD57,3.72352,140.61055,2.310193,137.58919,38.467079,122.517023,39.172574,152.490691,4.880264
A4,ARC,3CD56,74.782223,148.553733,74.147625,147.932484,77.933945,144.699547,4.978765,129.274243,10.233514
A4,ARC,3CD55,74.147625,147.932484,73.172615,145.625801,77.214705,145.276658,4.057141,139.110272,35.952958
A4,ARC,3CD54,73.172615,145.625801,73.21346,144.373157,78.469357,145.171524,5.316187,175.098007,13.539158
A4,ARC,3CD53,73.21346,144.373157,73.581839,142.913781,81.061188,145.577915,7.939664,188.727727,10.878101
A4,ARC,3CD52,73.581839,142.913781,73.863553,142.183944,85.152497,146.960715,12.257969,199.277711,3.657315
A4,ARC,3CD51,73.863553,142.183944,74.160533,141.521417,90.571176,149.275376,18.150291,202.998451,2.292086
A4,ARC,3CD50,74.160533,141.521417,74.600672,140.610548,137.523889,171.577339,70.130403,205.376966,0.826501
A4,ARC,3C5F0,74.782223,148.553733,74.860802,149.242865,74.46365,148.939105,0.5,309.57933,87.831144
A4,LINE,3C5EF,74.860802,149.242865,74.162604,150.155724,,,,,
A4,LINE,3C5EE,74.162604,150.155724,72.665125,148.821536,,,,,
A4,LINE,3C5ED,72.665125,148.821536,71.450083,150.410144,,,,,
A4,LINE,3C5EC,71.450083,150.410144,73.129818,151.50604,,,,,
A4,LINE,3C5EB,73.129818,151.50604,72.394755,152.467099,,,,,
A4,ARC,3C5EA,72.394755,152.467099,71.759685,152.603105,71.997603,152.163339,0.5,37.410474,81.003363
A4,ARC,3C5E9,68.231159,181.948587,68.895559,182.161079,68.454222,182.396072,0.5,243.504616,88.461942
A4,LINE,3C5E8,68.895559,182.161079,69.844871,183.941054,,,,,
A4,ARC,3C5E7,69.844871,183.941054,69.670402,184.599275,69.403695,184.176348,0.5,331.927407,85.836145
A4,ARC,3CD4F,69.179284,197.170973,68.598583,194.636871,144.879268,178.490398,77.970838,166.138003,1.910505
A4,LINE,3CD4E,68.598583,194.636871,68.598583,194.636871,,,,,
A4,ARC,3CD4D,68.598583,194.636871,68.352721,193.421903,168.242667,173.840427,101.791137,168.21118,0.697743
A4,ARC,3CD4C,68.352721,193.421903,68.042438,191.740043,139.765154,179.377635,72.780335,168.873962,1.346406
A4,ARC,3CD4B,68.042438,191.740043,67.808686,187.790374,86.274871,188.679246,18.487566,170.470246,12.285567
A4,LINE,3CD4A,67.808686,187.790374,67.808686,187.790374,,,,,
A4,ARC,3CD49,67.808686,187.790374,69.670402,184.599275,71.80406,187.982692,4,182.755813,55.007739
A4,LINE,3CD48,69.670402,184.599275,69.670402,184.599275,,,,,
A4,LINE,3C5E2,68.931206,212.642019,68.720551,213.245665,,,,,
A4,ARC,3CD47,70.270129,204.693171,69.040829,212.309631,45.836135,204.656952,24.43402,0.084932,18.167115
A4,LINE,3CD46,70.270129,204.693171,70.270129,204.693171,,,,,
A4,ARC,3CD45,69.751585,199.838187,70.270129,204.693171,44.924357,204.945081,25.347023,348.376539,11.054021
A4,LINE,3CD44,69.751585,199.838187,69.751585,199.838187,,,,,
A4,ARC,3CD43,69.179284,197.170973,69.751585,199.838187,1.073192,213.179423,69.962205,346.772644,2.234183
A4,LINE,3CD42,69.179284,197.170973,69.179284,197.170973,,,,,
A4,LINE,3C5DE,39.012098,229.076378,32.965424,229.076378,,,,,
A4,LINE,3C5DD,45.358772,229.076378,39.312098,229.076378,,,,,
A4,CIRCLE,3C5DC,,,,,33.82179,124.841173,1,,
A4,CIRCLE,3C5DB,,,,,24.805363,166.772143,2.5,,
A4,CIRCLE,3C5DA,,,,,53.51883,166.772143,2.5,,
A4,CIRCLE,3C5D9,,,,,56.012418,143.253593,2.5,,
A4,LINE,3C5D8,31.948717,224.649754,30.748717,224.649754,,,,,
A4,LINE,3C5D7,29.848717,225.549754,29.848717,225.749754,,,,,
A4,LINE,3C5D6,30.748717,226.649754,31.948717,226.649754,,,,,
A4,LINE,3C5D5,32.848717,225.749754,32.848717,225.549754,,,,,
A4,LINE,3C5D4,47.575476,224.649754,46.375476,224.649754,,,,,
A4,LINE,3C5D3,45.475476,225.549754,45.475476,225.749754,,,,,
A4,LINE,3C5D2,46.375476,226.649754,47.575476,226.649754,,,,,
A4,LINE,3C5D1,48.475476,225.749754,48.475476,225.549754,,,,,
A4,LINE,3C5D0,41.162096,98.86379,41.162096,98.66379,,,,,
A4,LINE,3C5CF,40.262096,97.76379,38.062096,97.76379,,,,,
A4,LINE,3C5CE,37.162096,98.66379,37.162096,98.86379,,,,,
A4,LINE,3C5CD,38.062096,99.76379,40.262096,99.76379,,,,,
A13,LINE,3C5CA,74.098525,251.328839,74.098525,248.328839,,,,,
A13,LINE,3C5C6,113.261555,254.580841,113.261555,256.580841,,,,,
A13,LINE,3C5C5,116.261282,254.580841,116.261282,256.580841,,,,,
A13,LINE,3C5C4,116.261282,256.580841,113.261555,256.580841,,,,,
A13,LINE,3C5C3,113.261555,254.580841,116.261282,254.580841,,,,,
A13,LINE,3C5C2,113.261555,243.142324,113.261555,245.142324,,,,,
A13,LINE,3C5C1,116.261282,243.142324,116.261282,245.142324,,,,,
A13,LINE,3C5C0,116.261282,245.142324,113.261555,245.142324,,,,,
A13,LINE,3C5BF,113.261555,243.142324,116.261282,243.142324,,,,,
A13,LINE,3C5BE,113.261555,247.060218,113.261555,249.060218,,,,,
A13,LINE,3C5BD,116.261282,247.060218,116.261282,249.060218,,,,,
A13,LINE,3C5BC,113.261555,250.964288,113.261555,252.964288,,,,,
A13,LINE,3C5BB,116.261282,250.964288,116.261282,252.964288,,,,,
A13,ARC,3C5BA,158.551662,259.186784,159.878558,259.352793,159.122797,260.007641,1,235.170624,83.921263
A13,ARC,3C5B9,158.551662,259.186784,146.547553,259.818265,152.040729,249.82902,11.4,55.170624,63.636167
A13,ARC,3C5B8,145.334781,260.012046,146.547553,259.818265,146.065695,260.694515,1,223.03686,75.769932
A13,ARC,3C5B7,145.334781,260.012046,141.771085,261.7977,141.145658,256.100585,5.731342,43.03686,40.698317
A13,ARC,3C5B6,139.1352,264.954159,141.771085,261.7977,142.069749,264.72592,2.943412,175.552683,88.623575
A13,LINE,3C5B5,140.79171,267.027963,140.763955,266.185665,,,,,
A13,ARC,3C5B4,146.68904,261.105629,140.763955,266.185665,130.929372,248.719758,20.044374,38.164586,22.452721
A13,ARC,3CD41,148.47058,262.255032,148.435143,262.249951,148.770892,260.034259,2.240987,97.701301,0.915299
A13,ARC,3CD40,148.435143,262.249951,148.123153,262.175816,148.690123,260.483349,1.784908,98.212983,10.307691
A13,ARC,3CD3F,148.123153,262.175816,147.902207,262.075782,148.5004,261.048562,1.188704,108.503337,11.710683
A13,ARC,3CD3E,147.902207,262.075782,147.670385,261.879781,148.331944,261.332411,0.858648,120.031914,20.363952
A13,ARC,3CD3D,147.670385,261.879781,147.587772,261.769746,148.803428,260.943087,1.470096,140.419229,5.364632
A13,ARC,3CD3C,147.587772,261.769746,147.473278,261.594643,153.009074,258.099943,6.5466,145.905035,1.831101
A13,ARC,3CD3B,147.415017,261.508467,147.473278,261.594643,145.321627,262.98654,2.562612,324.775356,2.325949
A13,ARC,3CD3A,147.330831,261.401106,147.415017,261.508467,146.377938,262.234988,1.266241,318.810659,6.176355
A13,ARC,3CD39,147.233943,261.308276,147.330831,261.401106,146.755595,261.904517,0.764408,308.739171,10.070446
A13,ARC,3CD38,147.089852,261.219425,147.233943,261.308276,146.760511,261.914785,0.76941,295.343477,12.631596
A13,ARC,3CD37,146.927418,261.157607,147.089852,261.219425,146.610103,262.235699,1.12382,286.400729,8.86968
